X Points,Y Points,Heading,Arc Length,Delta Heading,Delta Arc Length,Curvature,Left Power,Right Power,Left Adjusted Power,Right Adjusted Power
-9887.175282,-29209.414146000006,-177.84627210109502,25649.726314312007,0.130093397348503,458.12547724889737,2.8396892076327883E-4,0.7065046698674265,0.6934953301325734,0.7693579718676947,0.7823673116025479
-9904.392,-29667.216000000008,-177.71219745512806,26103.129528778256,0.13407464596696173,453.40321446624876,2.957073123638249E-4,0.7067037322983466,0.6932962677016533,0.7681611461507283,0.7815686107474216
-9922.491438000001,-30120.257814000008,-177.57432236736457,26552.153448912886,0.13787508776349,449.0239201346303,3.070551068239809E-4,0.706893754388173,0.6931062456118269,0.7670065615317886,0.7807940703081347
-9941.495664,-30568.87939200001,-177.43285268373452,26997.141177414112,0.1414696836300493,444.98772850122623,3.1791816845510223E-4,0.7070734841815053,0.6929265158184946,0.765903471499811,0.7800504398628216
-9961.426746000001,-31013.420538000006,-177.28801893660201,27438.435944343917,0.14483374713250896,441.2947669298046,3.2820182333029746E-4,0.707241687356624,0.692758312643376,0.7648611576603007,0.7793445323735487
-9982.306752,-31454.22105600001,-177.14007567928928,27876.381098929385,0.1479432573127326,437.9451545854681,3.378122939910021E-4,0.707397162865638,0.6926028371343619,0.7638887921451268,0.778683117876403
-10004.15775,-31891.62075000001,-176.98930049829914,28311.320100075503,0.15077518099013787,434.93900114611824,3.466582224010342E-4,0.7075387590495097,0.6924612409504902,0.7629952920464024,0.7780728101454218
-10027.001808,-32325.959424000008,-176.83599270027258,28743.596505639078,0.15330779802656025,432.2764055635744,3.546522457701279E-4,0.707665389901328,0.6923346100986719,0.7621891692082111,0.7775199490108672
-10050.860994,-32757.57688200001,-176.68047167791138,29173.55396053712,0.15552102236119936,429.95745489804176,3.617125847905628E-4,0.7077760511180571,0.6922239488819428,0.761478379174745,0.7770304814108593
-10075.757376000001,-33186.81292800001,-176.52307496665387,29601.536183786426,0.15739671125751897,427.9822232493061,3.6776460027354026E-4,0.7078698355628731,0.6921301644371268,0.760870173413876,0.7766098445396222
-10101.713022,-33614.00736600001,-176.36415601159194,30027.886954593312,0.158918955061921,426.35077080688643,3.7274227219336026E-4,0.7079459477530974,0.6920540522469025,0.760370959110467,0.7762628546166619
-10128.75,-34039.50000000001,-176.20408167171368,30452.950097633533,0.16007433987826403,425.0631430402209,3.765895549855219E-4,0.7080037169939132,0.6919962830060867,0.7599861708323175,0.7759936048201439
-10156.890378,-34463.630634000016,-176.04322949567933,30877.06946768033,0.16085217603435353,424.11937004679567,3.7926156500840154E-4,0.7080426088017162,0.6919573911982837,0.7597201581725697,0.7758053757760022
-10186.156224,-34886.73907200001,-175.88198480981288,31300.588933754643,0.1612446858664498,423.51946607431455,3.8072555993943265E-4,0.7080622342933196,0.6919377657066803,0.7595760931118286,0.7757005616984679
-10216.569606000001,-35309.16511800001,-175.7207376644251,31723.852362982725,0.16124714538779017,423.2634292280818,3.80961675998809E-4,0.7080623572693866,0.6919376427306133,0.7595559002707146,0.7756806148094879
-10248.152592,-35731.24857600001,-175.55987968884443,32147.203604354836,0.1608579755806545,423.35124137211096,3.79963396491534E-4,0.7080428987790327,0.6919571012209672,0.7596602125191869,0.7757460100772524
-10280.92725,-36153.32925000001,-175.39980090835792,32570.98647258205,0.16007878048651492,423.78286822721566,3.7773773431688167E-4,0.7080039390243229,0.691996060975677,0.7598883535587422,0.7758962316073881
-10314.915648000002,-36575.74694400001,-175.24088657755448,32995.5447322473,0.15891433080344086,424.5582596652457,3.7430512111293735E-4,0.7079457165401748,0.6920542834598251,0.7602383481652255,0.7761297812455752
-10350.139854000001,-36998.84146200001,-175.08351408425793,33421.22208244165,0.157372493296549,425.6773501943535,3.6969900612433305E-4,0.7078686246648246,0.6921313753351753,0.7607069598146071,0.7764442091442564
-10386.621936000001,-37422.95260800001,-174.9280499763365,33848.36214206708,0.15546410792143206,427.1400596254316,3.6396517820813505E-4,0.7077732053960701,0.6922267946039298,0.7612897544562384,0.7768361652483787
-10424.383962000002,-37848.42018600002,-174.77484716024452,34277.308435973304,0.1532028160919765,428.9462939062214,3.5716083404487687E-4,0.7076601408046002,0.6923398591953998,0.7619811883015853,0.7773014699107857
-10463.448,-38275.58400000001,-174.6242423153932,34708.404382079505,0.15060484485132974,431.09594610620115,3.493534240151986E-4,0.7075302422425636,0.6924697577574364,0.7627747167161446,0.7778352012012718
-10503.836118000001,-38704.78385400001,-174.47655356248794,35141.9932796112,0.1476887529052533,433.58889753169206,3.406193141614249E-4,0.7073844376452626,0.6926155623547373,0.7636629206510163,0.7784317959415415
-10545.570384,-39136.35955200001,-174.33207841712795,35578.41829856068,0.14447514535999062,436.4250189494851,3.310423075828665E-4,0.7072237572679967,0.6927762427320032,0.7646376465874597,0.7790851611234532
-10588.672866,-39570.650898000014,-174.1910920524904,36018.02247045533,0.14098636463754133,439.6041718946508,3.207120715663456E-4,0.707049318231877,0.6929506817681229,0.7656901556849837,0.7797887921487378
-10633.165632000002,-40007.99769600001,-174.0538458870981,36461.14868049344,0.13724616539229828,443.12621003810636,3.097225176106542E-4,0.7068623082696135,0.6931376917303864,0.7668112777334809,0.780535894272708
-10679.070750000003,-40448.739750000015,-173.92056650582242,36908.139661082336,0.13327938127568473,446.9909805888965,2.981701803022176E-4,0.7066639690637828,0.6933360309362171,0.7679915656105287,0.7813195037380944
-10726.410288000001,-40893.216864000016,-173.79145491465485,37359.33798678968,0.12911159116757176,451.19832570734434,2.861526380115957E-4,0.7064555795583786,0.6935444204416213,0.7692214462106358,0.782132605327393
-10775.206314000003,-41341.76884200002,-173.66668612263908,37815.08607069543,0.12476879201577162,455.74808390575345,2.7376701388743884E-4,0.7062384396007899,0.69376156039921,0.7704913642187778,0.7829682434203578
-10825.480896000003,-41794.73548800002,-173.54640903789357,38275.72616211119,0.12027708474550991,460.6400914157566,2.611085899531386E-4,0.7060138542372726,0.6939861457627273,0.7717919156167107,0.7838196240912559
-10877.256102000003,-42252.45660600002,-173.430746659071,38741.600345614184,0.11566237882257724,465.87418350299413,2.482695605772581E-4,0.7057831189411288,0.6942168810588711,0.7731139684098043,0.7846802062920619
